NA27	LEB
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Βαραββᾶν	Barabbas
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
χριστόν	Christ
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
Βαραββᾶν	Barabbas
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
χριστόν	Christ
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
Ἰησοῦν	Jesus
Κυρηναῖον	Cyrene
Κυρηναῖον	of
Σίμωνα	Simon
Γολγοθᾶ	Golgotha
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
ηλι	/Eli
ηλι	Eli
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Γαλιλαίας	Galilee
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰακώβου	James
Ἰακώβου	of
Ἰωσὴφ	Joseph
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἁριμαθαίας	Arimathea
Ἰωσήφ	Joseph
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πιλάτῳ	Pilate
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πιλᾶτος	Pilate
Ἰωσὴφ	Joseph
Μαριὰμ	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Φαρισαῖοι	Pharisees
Πιλᾶτον	Pilate
Πιλᾶτος	Pilate
Μαριὰμ	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰησοῦν	Jesus
Γαλιλαίαν	Galilee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Γαλιλαίαν	Galilee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Ἠσαΐᾳ	Isaiah
Ἰωάννης	John
Ἱεροσολυμῖται	Jerusalem
Ἱεροσολυμῖται	inhabitants
Ἱεροσολυμῖται	of
Ἰορδάνῃ	Jordan
Ἰωάννης	John
Ἰησοῦς	Jesus
Ναζαρὲτ	Nazareth
Γαλιλαίας	Galilee
Γαλιλαίας	in
Ἰορδάνην	Jordan
Ἰωάννου	John
σατανᾶ	Satan
Ἰωάννην	John
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Γαλιλαίας	Galilee
Γαλιλαίας	of
Σίμωνα	Simon
Ἀνδρέαν	Andrew
Σίμωνος	Simon’s
Ἰησοῦς	Jesus
Ἰάκωβον	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννην	John
Ζεβεδαῖον	Zebedee
Καφαρναούμ	Capernaum
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Γαλιλαίας	of
Σίμωνος	Simon
Σίμωνος	of
Ἀνδρέου	Andrew
Ἰακώβου	James
Ἰωάννου	John
Σίμωνος	Simon’s
Σίμων	Simon
Γαλιλαίαν	Galilee
Μωϋσῆς	Moses
Καφαρναοὺμ	Capernaum
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Λευὶν	Levi
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Ἰησοῦ	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Ἰωάννου	John’s
Φαρισαῖοι	Pharisees
Ἰωάννου	John
Ἰωάννου	of
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Δαυὶδ	David
Ἀβιαθὰρ	Abiathar
Φαρισαῖοι	Pharisees
Ἡρῳδιανῶν	Herodians
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Ἰουδαίας	Judea
Ἱεροσολύμων	Jerusalem
Ἰδουμαίας	Idumea
Ἰορδάνου	Jordan
Ἰορδάνου	of
Τύρον	Tyre
Σιδῶνα	Sidon
Σίμωνι	Simon
Σίμωνι	to
Πέτρον	Peter
Ἰάκωβον	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννην	John
Ἰακώβου	James
Ἰακώβου	of
Ἀνδρέαν	Andrew
Φίλιππον	Philip
Βαρθολομαῖον	Bartholomew
Μαθθαῖον	Matthew
Θωμᾶν	Thomas
Ἰάκωβον	James
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Θαδδαῖον	Thaddaeus
Σίμωνα	Simon
Καναναῖον	Zealot
Ἰούδαν	Judas
Ἰσκαριώθ	Iscariot
Ἱεροσολύμων	Jerusalem
Βεελζεβοὺλ	Beelzebul
Βεελζεβοὺλ	by
σατανᾶς	Satan
σατανᾶν	Satan
σατανᾶς	Satan
σατανᾶς	Satan
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus
Ἰησοῦν	Jesus
Δεκαπόλει	Decapolis
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰάϊρος	Jairus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Ἰακώβου	James
Ἰακώβου	of
Μαρίας	Mary
Μαρίας	of
Ἰακώβου	James
Ἰακώβου	of
Ἰωσῆτος	Joses
Ἰούδα	Judas
Σίμωνος	Simon
Ἰησοῦς	Jesus
Ἡρῴδης	Herod
Ἰωάννης	John
Ἠλίας	Elijah
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῳδιάδα	Herodias
Φιλίππου	Philip
Φιλίππου	of
Ἰωάννης	John
Ἡρῴδῃ	Herod
Ἡρῴδῃ	to
Ἡρῳδιὰς	Herodias
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῴδης	Herod
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἡρῳδιάδος	Herodias
Ἡρῳδιάδος	of
Ἡρῴδῃ	Herod
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννου	John
Ἰωάννου	of
Ἰησοῦν	Jesus
Βηθσαϊδάν	Bethsaida
Γεννησαρὲτ	Gennesaret
Φαρισαῖοι	Pharisees
Ἱεροσολύμων	Jerusalem
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἠσαΐας	Isaiah
Μωϋσῆς	Moses
κορβᾶν	corban
Τύρου	Tyre
Τύρου	of
Ἑλληνίς	Greek
Ἑλληνίς	a
Συροφοινίκισσα	Syrophoenician
Συροφοινίκισσα	a
Τύρου	Tyre
Τύρου	of
Σιδῶνος	Sidon
Γαλιλαίας	Galilee
Γαλιλαίας	of
Δεκαπόλεως	Decapolis
Δεκαπόλεως	of
Δαλμανουθά	Dalmanutha
Δαλμανουθά	of
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἡρῴδου	Herod
Ἡρῴδου	of
Βηθσαϊδάν	Bethsaida
Ἰησοῦς	Jesus
Καισαρείας	Caesarea
Καισαρείας	of
Φιλίππου	Philippi
Ἰωάννην	John
Ἠλίαν	Elijah
Πέτρος	Peter
χριστός	Christ
Πέτρος	Peter
Πέτρῳ	Peter
σατανᾶ	Satan
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Ἠλίας	Elijah
Μωϋσεῖ	Moses
Ἰησοῦ	Jesus
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	to
Μωϋσεῖ	Moses
Μωϋσεῖ	for
Ἠλίᾳ	Elijah
Ἠλίᾳ	for
Ἰησοῦν	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Καφαρναούμ	Capernaum
Ἰωάννης	John
Ἰησοῦς	Jesus
Χριστοῦ	Christ’s
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἰορδάνου	Jordan
Ἰορδάνου	of
Φαρισαῖοι	they
Μωϋσῆς	Moses
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰάκωβος	James
Ἰωάννης	John
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰακώβου	James
Ἰωάννου	John
